hour,member_casual,rides,avg_duration_min
0,casual,6856,17.87846654998055
0,member,8987,10.995797633618931
1,casual,4559,19.065774658185276
1,member,5329,11.543863764308501
2,casual,2931,19.207102240418514
2,member,2940,11.752222222222223
3,casual,1634,18.115952672378622
3,member,2144,10.995273631840796
4,casual,1213,15.912050013740037
4,member,2726,11.22938371239912
5,casual,2561,13.394748145255758
5,member,10670,10.439810996563574
6,casual,6028,13.558651293961514
6,member,33691,10.347055098789983
7,casual,12210,14.152949767949767
7,member,64112,11.482082137509359
8,casual,17900,15.308793296089387
8,member,81696,11.490469341624232
9,casual,17791,20.757258351601
9,member,54376,11.38216921681134
10,casual,21930,25.852276181790543
10,member,47204,12.433871776403128
11,casual,28015,26.347434112677732
11,member,55797,12.698328165791471
12,casual,34900,24.928887774594077
12,member,65022,12.219716147355253
13,casual,36471,25.727172730845513
13,member,65483,12.423438653289148
14,casual,37755,25.638026751423652
14,member,65613,12.588409817160217
15,casual,41583,24.10930468380508
15,member,79796,12.653275226828413
16,casual,48344,22.497691888686635
16,member,109289,12.99156029731568
17,casual,50794,21.49580166948852
17,member,125418,13.182686562800662
18,casual,40571,20.719211998718297
18,member,93541,12.681686818257948
19,casual,28600,19.656722027972027
19,member,63076,12.161886454435919
20,casual,19489,18.814903278772643
20,member,43344,11.70896625446044
21,casual,15739,18.01660524810979
21,member,32562,11.382186802612452
22,casual,13321,18.79582113454946
22,member,22857,11.933022706391913
23,casual,9387,18.57568268172295
23,member,14487,11.339420399898758
